Source Reference,Component,Scenario,Unit,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Rounded conservative market proxy; BASF (2026) reports 2025 average naphtha price of 567 USD/t,Naphta,Naphtha a),€/t,,,,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
IREES,PCW,ExpertGuess-PCW,€/t,,,,,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0
IREES,CO2 EoL,PIKExpertGuess-CO2,€/t,,,,100.0,107.1,114.67,122.71,131.22,140.21,149.67,159.6,170.0,180.87,192.22,204.04,216.33,229.1,242.33,256.04,270.22,284.87,300.0,315.6,331.67,348.21,365.22,382.71,400.67,419.1,438.0,457.37,477.22
Ariadne,CO2 EoL,Ariadne-Indikation-KN2045_Mix,€/t,,,,,,,108.84,127.07,145.3,163.54,181.77,200.0,220.0,240.0,260.0,280.0,300.0,320.0,340.0,360.0,380.0,400.0,420.0,440.0,460.0,480.0,500.0,500.0,500.0,500.0,500.0,500.0
Ariadne,CO2 EoL,Ariadne-Indikation-ExPol,€/t,,,,,,,80.27,84.22,88.16,92.11,96.05,100.0,108.0,116.0,124.0,132.0,140.0,146.0,152.0,158.0,164.0,170.0,176.0,182.0,188.0,194.0,200.0,200.0,200.0,200.0,200.0,200.0
Ariadne,Electricity,Ariadne-Indikation-KN2024_Mix-Electricity-EI,€/MWh,,,,,,,102.204,101.988,101.772,101.556,101.34,101.088,98.676,96.228,93.78,91.332,88.92,86.94,84.924,82.944,80.964,78.984,78.516,78.048,77.58,77.112,76.644,76.176,75.708,75.24,74.772,74.304
Ariadne,Hydrogen,Ariadne-Indikation-KN2024_Mix-Hydrogen-EI,€/kg,,,,,,,9.6648,9.2652,8.8656,8.466,8.0664,7.6668,7.4892,7.3116,7.1328,6.9552,6.7776,6.6,6.4224,6.2448,6.0672,5.8884,5.7108,5.5332,5.3556,5.178,5.0004,5.0004,5.0004,5.0004,5.0004,5.0004
Ariadne,Natural Gas,Ariadne-Indikation-KN2024_Mix-NG-EI,€/MWh,,,,,,,66.276,66.78,67.32,67.824,68.364,68.868,72.828,76.788,80.784,84.744,88.704,92.988,97.236,101.52,105.804,110.088,114.156,118.26,122.364,126.468,130.572,130.644,130.752,130.86,130.968,131.076
"Haro et al. (2013), dry biomass basis",Biomass,ExpertGuess-Biomass,€/t,,,,,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2
CropEnergies (2025): 680 EUR/m3; converted using 0.789 t/m3 and rounded,Bioethanol,ExpertGuess-Bioethanol,€/t,,,,,860.0,860.0,860.0,860.0,860.0,860.0,860.0,860.0,860.0,860.0,860.0,860.0,860.0,860.0,860.0,860.0,860.0,860.0,860.0,860.0,860.0,860.0,860.0,860.0,,,,
"Author proxy: Europe conventional butenes price (Intratec, Dec. 2025) converted using ECB 2025 exchange rate, multiplied by 1.5 and rounded",Biobutene,ExpertGuess-Biobutene,€/t,,,,,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,,,,
Projektionsbericht2026,Electricity,Industry70-150GWh,€/MWh,,,,,,,110.8,101.6,103.6,91.6,84.0,78.0,76.1,77.1,79.5,80.5,80.2,79.4,78.3,76.6,74.9,73.2,72.6,72.0,71.5,70.3,69.8,59.6,60.6,61.6,62.6,63.6
Projektionsbericht2026,Natural Gas,Industry>4000GJ,€/MWh,,,,,,,55.73,46.25,42.28,38.57,34.58,30.6,29.52,29.19,28.86,28.54,28.22,27.91,27.6,27.3,26.99,26.69,26.7,26.77,26.84,26.92,26.99,26.99,26.98,26.98,26.97,26.97
Projektionsbericht2026,Hydrogen,IndustryLarge,€/kg,,,,,,,6.193575282,6.06724572,5.945766098,5.830687193,5.723028481,5.62907045,5.543654443,5.385246189,5.385246189,5.385246189,5.062914128,5.012244046,4.961573963,4.910903881,4.860233799,4.809563716,4.735058092,4.660552468,4.586046844,4.51154122,4.437035596,4.411517286,4.385998976,4.360480666,4.334962356,4.309444046
